name,SMILES,core_type,substituent_pattern,MW,fosc,DEST_dDFT,DEST_corrected_linear,DEST_corrected_shift,FM_linear,FM_shift,status,prior_invest_flag_ddft,prior_invest_flag_od,od_eV,adc2_DEST_eV,adc2_fosc_S1,adc2_evidence,scscc2_DEST_eV,scscc2_fosc_S1,evidence_level,display_status,evidence_notes
5AP_NMe2_Cz,CN(C)c1nc2nc3nccnc3nc2nc1-n1c2ccccc2c2ccccc21,5AP,NMe2_Cz,392.430000,0.000895,0.232800,-0.084688,-0.038467,0.000076,0.000034,complete,true,false,-2.4638,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
5AP_NMe2_CF3,CN(C)c1nc2nc3nccnc3nc2nc1C(F)(F)F,5AP,NMe2_CF3,295.230000,0.000090,0.248600,-0.075996,-0.022667,0.000007,0.000002,complete,true,true,-4.5944,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NMe2_CN,CN(C)c1nc2nc3nccnc3nc2nc1C#N,5AP,NMe2_CN,252.240000,0.000089,0.219100,-0.092224,-0.052167,0.000008,0.000005,complete,true,true,-4.5341,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NMe2_Me,Cc1nc2nc3nccnc3nc2nc1N(C)C,5AP,NMe2_Me,241.260000,0.000020,0.238200,-0.081717,-0.033067,0.000002,0.000001,complete,true,true,-4.2152,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NMe2_OMe,COc1nc2nc3nccnc3nc2nc1N(C)C,5AP,NMe2_OMe,257.260000,0.000050,0.224100,-0.089473,-0.047167,0.000004,0.000002,complete,true,true,-3.9559,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NMe2_Ph,CN(C)c1nc2nc3nccnc3nc2nc1-c1ccccc1,5AP,NMe2_Ph,303.330000,0.000135,0.230800,-0.085788,-0.040467,0.000012,0.000005,complete,true,true,-3.7597,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NEt2_NPh2,CCN(CC)c1nc2nc3nccnc3nc2nc1N(c1ccccc1)c1ccccc1,5AP,NEt2_NPh2,422.500000,0.001876,0.227000,-0.087878,-0.044267,0.000165,0.000083,complete,true,true,-3.1295,+0.2151,0.002885,positive,,,adc2_excluded,,ΔDFT-corr<-0.05; KS-OD INVEST; ADC(2)=+0.215eV; (downgraded from screening flag)
5AP_NEt2_Cz,CCN(CC)c1nc2nc3nccnc3nc2nc1-n1c2ccccc2c2ccccc21,5AP,NEt2_Cz,420.480000,0.000853,0.231900,-0.085183,-0.039367,0.000073,0.000034,complete,true,false,-2.3949,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
5AP_NEt2_CF3,CCN(CC)c1nc2nc3nccnc3nc2nc1C(F)(F)F,5AP,NEt2_CF3,323.280000,0.000078,0.244500,-0.078252,-0.026767,0.000006,0.000002,complete,true,true,-4.5487,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NEt2_CN,CCN(CC)c1nc2nc3nccnc3nc2nc1C#N,5AP,NEt2_CN,280.300000,0.000019,0.192900,-0.106636,-0.078367,0.000002,0.000001,complete,true,true,-4.4995,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NEt2_Me,CCN(CC)c1nc2nc3nccnc3nc2nc1C,5AP,NEt2_Me,269.310000,0.000030,0.240300,-0.080562,-0.030967,0.000002,0.000001,complete,true,true,-4.2051,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NEt2_OMe,CCN(CC)c1nc2nc3nccnc3nc2nc1OC,5AP,NEt2_OMe,285.310000,0.000256,0.232200,-0.085018,-0.039067,0.000022,0.000010,complete,true,true,-3.9623,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NEt2_Ph,CCN(CC)c1nc2nc3nccnc3nc2nc1-c1ccccc1,5AP,NEt2_Ph,331.380000,0.000118,0.234200,-0.083918,-0.037067,0.000010,0.000004,complete,true,true,-3.6815,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NPh2_Cz,c1ccc(N(c2ccccc2)c2nc3nc4nccnc4nc3nc2-n2c3ccccc3c3ccccc32)cc1,5AP,NPh2_Cz,516.570000,0.000052,0.193700,-0.106196,-0.077567,0.000006,0.000004,complete,true,false,-2.9090,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
5AP_NPh2_CF3,FC(F)(F)c1nc2nc3nccnc3nc2nc1N(c1ccccc1)c1ccccc1,5AP,NPh2_CF3,419.370000,0.000090,0.222900,-0.090134,-0.048367,0.000008,0.000004,complete,true,true,-4.4586,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NPh2_CN,N#Cc1nc2nc3nccnc3nc2nc1N(c1ccccc1)c1ccccc1,5AP,NPh2_CN,376.380000,0.000110,0.208800,-0.097890,-0.062467,0.000011,0.000007,complete,true,true,-4.3623,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NPh2_Me,Cc1nc2nc3nccnc3nc2nc1N(c1ccccc1)c1ccccc1,5AP,NPh2_Me,365.400000,0.000034,0.215100,-0.094424,-0.056167,0.000003,0.000002,complete,true,true,-4.4003,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NPh2_OMe,COc1nc2nc3nccnc3nc2nc1N(c1ccccc1)c1ccccc1,5AP,NPh2_OMe,381.400000,0.000045,0.217800,-0.092939,-0.053467,0.000004,0.000002,complete,true,true,-3.6774,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NPh2_Ph,c1ccc(-c2nc3nc4nccnc4nc3nc2N(c2ccccc2)c2ccccc2)cc1,5AP,NPh2_Ph,427.470000,0.000106,0.204800,-0.100090,-0.066467,0.000011,0.000007,complete,true,true,-3.5466,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_Cz_CF3,FC(F)(F)c1nc2nc3nccnc3nc2nc1-n1c2ccccc2c2ccccc21,5AP,Cz_CF3,417.350000,0.000025,0.218300,-0.092664,-0.052967,0.000002,0.000001,complete,true,true,-3.1027,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_Cz_CN,N#Cc1nc2nc3nccnc3nc2nc1-n1c2ccccc2c2ccccc21,5AP,Cz_CN,374.370000,0.000040,0.207400,-0.098660,-0.063867,0.000004,0.000003,complete,true,false,-2.9366,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
5AP_Cz_Me,Cc1nc2nc3nccnc3nc2nc1-n1c2ccccc2c2ccccc21,5AP,Cz_Me,363.380000,0.000017,0.215000,-0.094479,-0.056267,0.000002,0.000001,complete,true,true,-3.2322,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
