mol_id,smiles,scaffold_family,source_domain,split_group,adc2_s1_ev,adc2_t1_ev,adc2_dest_ev,adc2_fosc,adc2_available,scscc2_s1_ev,scscc2_t1_ev,scscc2_dest_ev,dft_dest_raw_ev,dft_dest_calibrated_ev,fosc_dft,homo_ev,lumo_ev,hl_gap_ev,homo_m1_ev,lumo_p1_ev,od_index,is_invest,is_near_zero,is_high_fosc
S73,c1nc2ccnc3nccc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.037,2.2464,-0.2094,0.0001,True,,,,,,,,,,,,,True,False,False
S74,c1nc2ccnc3nncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.88,2.023,-0.143,0.002,True,,,,,,,,,,,,,True,False,False
S75,c1nc2cncc3cncc(n1)-n-3-2,pollice_heptazine_deriv,pollice,source,1.3709,1.4355,-0.0646,0.0044,True,,,,,,,,,,,,,True,True,False
S76,c1nc2cncc3cnnc(n1)-n-3-2,pollice_heptazine_deriv,pollice,source,1.8611,1.7567,0.1043,0.0063,True,,,,,,,,,,,,,False,False,False
S77,c1nc2cncc3ncnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.9699,2.062,-0.0921,0.0068,True,,,,,,,,,,,,,True,True,False
S78,c1nc2cncc3nncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.7496,1.7728,-0.0231,0.003,True,,,,,,,,,,,,,True,True,False
S79,c1nc2cncc3nnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.7535,1.8547,-0.1012,0.0033,True,,,,,,,,,,,,,True,False,False
S80,c1nc2cnnc3cnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.3287,2.205,0.1236,0.0033,True,,,,,,,,,,,,,False,False,False
S81,c1nc2cnnc3ncnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.2453,2.3332,-0.0879,0.006,True,,,,,,,,,,,,,True,True,False
S82,c1nc2cnnc3nncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.6986,1.8669,-0.1683,0.0009,True,,,,,,,,,,,,,True,False,False
S83,c1nc2cnnc3nnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.1816,2.2561,-0.0745,0.0005,True,,,,,,,,,,,,,True,True,False
S84,c1nc2ncnc3ncnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.578,2.8559,-0.2779,0.0,True,,,,,,,,,,,,,True,False,False
S85,c1nc2ncnc3nnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.3,2.2651,0.0349,0.0064,True,,,,,,,,,,,,,False,True,False
S86,c1nc2nncc3cnnc(n1)-n-3-2,pollice_heptazine_deriv,pollice,source,1.6502,1.6907,-0.0405,0.01,True,,,,,,,,,,,,,True,True,False
S87,c1nc2nncc3nnnc(n1)-n-3-2,pollice_heptazine_deriv,pollice,source,2.0364,2.0534,-0.0171,0.0082,True,,,,,,,,,,,,,True,True,False
S88,c1nc2nnnc3nnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.0596,2.0124,0.0471,0.0046,True,,,,,,,,,,,,,False,True,False
S89,c1ncc2cncc3cncc1-n-2-3,pollice_heptazine_deriv,pollice,source,0.6932,0.7907,-0.0974,0.0,True,,,,,,,,,,,,,True,True,False
S90,c1ncc2cnnc3cncc1-n-2-3,pollice_heptazine_deriv,pollice,source,1.7001,1.3645,0.3356,0.0011,True,,,,,,,,,,,,,False,False,False
S91,c1ncc2cnnc3nncc1-n-2-3,pollice_heptazine_deriv,pollice,source,1.0765,1.151,-0.0746,0.001,True,,,,,,,,,,,,,True,True,False
S92,c1ncc2nncc3nncc1-n-2-3,pollice_heptazine_deriv,pollice,source,2.2112,1.8077,0.4035,0.0018,True,,,,,,,,,,,,,False,False,False
S93,c1ncc2nnnc3cncc1-n-2-3,pollice_heptazine_deriv,pollice,source,1.1436,1.2541,-0.1105,0.0001,True,,,,,,,,,,,,,True,False,False
S94,c1ncc2nnnc3cnnc1-n-2-3,pollice_heptazine_deriv,pollice,source,1.8463,1.7146,0.1317,0.0004,True,,,,,,,,,,,,,False,False,False
S95,c1ncc2nnnc3nncc1-n-2-3,pollice_heptazine_deriv,pollice,source,1.8582,1.7243,0.134,0.0045,True,,,,,,,,,,,,,False,False,False
S96,c1ncc2nnnc3nnnc1-n-2-3,pollice_heptazine_deriv,pollice,source,1.5176,1.6748,-0.1572,0.0,True,,,,,,,,,,,,,True,False,False
S97,c1nnc2cncc3nncc1-n-2-3,pollice_heptazine_deriv,pollice,source,1.0368,1.1344,-0.0976,0.0008,True,,,,,,,,,,,,,True,True,False
S98,c1nnc2cnnc3cnnc1-n-3-2,pollice_heptazine_deriv,pollice,source,2.7007,2.2808,0.4199,0.0,True,,,,,,,,,,,,,False,False,False
S99,c1nnc2cnnc3nncc1-n-2-3,pollice_heptazine_deriv,pollice,source,1.8001,1.6257,0.1743,0.0038,True,,,,,,,,,,,,,False,False,False
S100,c1nnc2nncc3nnnc1-n-3-2,pollice_heptazine_deriv,pollice,source,1.4161,1.5691,-0.1531,0.001,True,,,,,,,,,,,,,True,False,False
S101,c1nnc2nnnc3cnnc1-n-3-2,pollice_heptazine_deriv,pollice,source,2.4308,2.2076,0.2232,0.0033,True,,,,,,,,,,,,,False,False,False
S102,c1nnc2nnnc3nncc1-n-2-3,pollice_heptazine_deriv,pollice,source,1.4762,1.5971,-0.1209,0.0018,True,,,,,,,,,,,,,True,False,False
S103,c1nnc2nnnc3nnnc1-n-2-3,pollice_heptazine_deriv,pollice,source,2.141,2.0564,0.0846,0.0026,True,,,,,,,,,,,,,False,True,False
S104,n1nc2nnnc3nnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.8341,1.9302,-0.0961,0.0,True,,,,,,,,,,,,,True,True,False
S105,CC1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.0793,1.2439,-0.1646,0.0,True,,,,,,,,,,,,,True,False,False
S106,CC1=CC=C2C=CC=C3C=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.0972,1.2263,-0.1292,0.0,True,,,,,,,,,,,,,True,False,False
S107,NC1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.3134,1.4642,-0.1508,0.0026,True,,,,,,,,,,,,,True,False,False
S108,NC1=CC=C2C=CC=C3C=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.1412,1.157,-0.0158,0.0006,True,,,,,,,,,,,,,True,True,False
S109,OC1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.2731,1.4303,-0.1572,0.0018,True,,,,,,,,,,,,,True,False,False
S110,C1=C(C2=CC=CC3=CC=CC(=C1)N23)O,pollice_heptazine_deriv,pollice,source,1.1333,1.1248,0.0085,0.0007,True,,,,,,,,,,,,,False,True,False
S111,FC1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.1899,1.3584,-0.1686,0.0007,True,,,,,,,,,,,,,True,False,False
S112,C1=C(C2=CC=CC3=CC=CC(=C1)N23)F,pollice_heptazine_deriv,pollice,source,1.014,1.1125,-0.0985,0.0004,True,,,,,,,,,,,,,True,True,False
S113,SC1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.1162,1.2841,-0.1679,0.0001,True,,,,,,,,,,,,,True,False,False
S114,SC1=CC=C2C=CC=C3C=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.002,1.1295,-0.1275,0.0004,True,,,,,,,,,,,,,True,False,False
S115,ClC1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.0734,1.2366,-0.1632,0.0,True,,,,,,,,,,,,,True,False,False
S116,ClC1=C2C=CC=C3C=CC=C(C=C1)N23,pollice_heptazine_deriv,pollice,source,0.9981,1.1544,-0.1563,0.0002,True,,,,,,,,,,,,,True,False,False
S117,BrC1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.0552,1.2146,-0.1594,0.0,True,,,,,,,,,,,,,True,False,False
S118,BrC1=C2C=CC=C3C=CC=C(C=C1)N23,pollice_heptazine_deriv,pollice,source,1.0045,1.1633,-0.1588,0.0002,True,,,,,,,,,,,,,True,False,False
S119,CNC1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.35,1.4877,-0.1377,0.0034,True,,,,,,,,,,,,,True,False,False
S120,CNC1=CC=C2C=CC=C3C=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.0213,1.1431,-0.1218,0.0002,True,,,,,,,,,,,,,True,False,False
S121,C=CC1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,0.9872,1.1107,-0.1236,0.0007,True,,,,,,,,,,,,,True,False,False
S122,C=CC1=CC=C2C=CC=C3C=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.0557,1.209,-0.1533,0.0005,True,,,,,,,,,,,,,True,False,False
S123,O=CC1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,0.8691,0.9394,-0.0703,0.0012,True,,,,,,,,,,,,,True,True,False
S124,O=CC1=CC=C2C=CC=C3C=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.3215,1.4436,-0.1222,0.0006,True,,,,,,,,,,,,,True,False,False
S125,C#CC1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,0.9345,1.0715,-0.1369,0.0004,True,,,,,,,,,,,,,True,False,False
S126,C1=C(C2=CC=CC3=CC=CC(=C1)N23)C#C,pollice_heptazine_deriv,pollice,source,1.0943,1.2431,-0.1488,0.0005,True,,,,,,,,,,,,,True,False,False
S127,[C-]#[N+]C1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,0.9756,1.1201,-0.1445,0.0003,True,,,,,,,,,,,,,True,False,False
S128,[C-]#[N+]C1=CC=C2C=CC=C3C=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.0811,1.2357,-0.1546,0.0005,True,,,,,,,,,,,,,True,False,False
S129,N#CC1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,0.9085,1.0176,-0.1091,0.0007,True,,,,,,,,,,,,,True,False,False
S130,N#CC1=CC=C2C=CC=C3C=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.193,1.3237,-0.1307,0.0004,True,,,,,,,,,,,,,True,False,False
