name,SMILES,canonical_SMILES,core_type,fosc,DEST_eV,DEST_raw_eV,MW,source,method,is_INVEST
O23_KORZID,CN1c2cccc3cccc(N(C)C41C(=O)c1ccc(cc1C4=O)c1ccc(cc1)C1=NN=C(O1)c1ccccc1)c23,CN1c2cccc3cccc(c23)N(C)C12C(=O)c1ccc(-c3ccc(-c4nnc(-c5ccccc5)o4)cc3)cc1C2=O,literature,,0.2543000010000003,0.2543000010000003,548.6020000000002,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KORYUO,CN1c2ccccc2c2ccccc2N(C)C21C(=O)c1ccccc1C2=O,CN1c2ccccc2-c2ccccc2N(C)C12C(=O)c1ccccc1C2=O,literature,,0.2863000010000003,0.2863000010000003,354.4090000000001,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KORYOI,CN1c2ccccc2N(C)C21C(=O)c1ccccc1C2=O,CN1c2ccccc2N(C)C12C(=O)c1ccccc1C2=O,literature,,0.16640000099999996,0.16640000099999996,278.31100000000004,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KORTAP,CCc1cc[n+](cc1)[B-](O)(c1ccc(cc1)C(C)(C)C)c1cc(Cl)cc(Cl)c1,CCc1cc[n+]([B-](O)(c2ccc(C(C)(C)C)cc2)c2cc(Cl)cc(Cl)c2)cc1,literature,,0.24710000100000062,0.24710000100000062,414.1850000000002,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KORSEP,Clc1ccccc1NC(=S)c1ccccn1,S=C(Nc1ccccc1Cl)c1ccccn1,literature,,0.285100001,0.285100001,248.738,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOLLEE,Fc1ccc(F)c(SC2=C(SC(S2)=C2SC(=C(S2)Sc2cc(F)ccc2F)Sc2cc(F)ccc2F)Sc2cc(F)ccc2F)c1,Fc1ccc(F)c(SC2=C(Sc3cc(F)ccc3F)SC(=C3SC(Sc4cc(F)ccc4F)=C(Sc4cc(F)ccc4F)S3)S2)c1,literature,,0.22250000099999978,0.22250000099999978,780.9460000000003,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOLKON,Fc1cccc(SC2=C(SC(S2)=C2SC(=C(S2)Sc2cccc(F)c2)Sc2cccc(F)c2)Sc2cccc(F)c2)c1,Fc1cccc(SC2=C(Sc3cccc(F)c3)SC(=C3SC(Sc4cccc(F)c4)=C(Sc4cccc(F)c4)S3)S2)c1,literature,,0.2717000020000002,0.2717000020000002,708.9860000000002,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOLKIH,Fc1ccccc1SC1=C(SC(S1)=C1SC(=C(S1)Sc1ccccc1F)Sc1ccccc1F)Sc1ccccc1F,Fc1ccccc1SC1=C(Sc2ccccc2F)SC(=C2SC(Sc3ccccc3F)=C(Sc3ccccc3F)S2)S1,literature,,0.27720000199999983,0.27720000199999983,708.9860000000002,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOLKED,Fc1ccc(SC2=C(SC(S2)=C2SC(=C(S2)Sc2ccc(F)cc2)Sc2ccc(F)cc2)Sc2ccc(F)cc2)cc1,Fc1ccc(SC2=C(Sc3ccc(F)cc3)SC(=C3SC(Sc4ccc(F)cc4)=C(Sc4ccc(F)cc4)S3)S2)cc1,literature,,0.22150000199999997,0.22150000199999997,708.9860000000002,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOKMOM,COC(=O)C(CC(N1C(=O)c2ccccc2C1=O)C(=O)OC)Nc1ccc(OC)cc1,COC(=O)C(CC(C(=O)OC)N1C(=O)c2ccccc2C1=O)Nc1ccc(OC)cc1,literature,,0.02059999999999995,0.02059999999999995,426.4250000000002,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
