metric_or_molecule	field	before_value	after_value	status	notes
metadata	generator	None	'scripts/99_emit_canonical.py::build_scs_cc2_extended_n13'	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	upstream_generator	None	'scripts/scscc2_extension/build_cross_check_n13.py'	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	repository	None	'https://github.com/lengcan276/INVEST-n13'	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	repository_canonical	None	'https://github.com/lengcan276/INVEST-n13'	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	raw_provenance_status	None	'SCS-CC2 n=13 raw-output verified from local ricc2_scscc2 outputs; ADC(2) raw provenance remains partial.'	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	audit_report_reference	None	'audit/phase4_qc.md'	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	sign_disagreements	None	0	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	screened_cohort_n	None	13	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	generated_from	None	['results/scscc2_extension_n13/cross_check_n13.csv', 'results/scscc2_extension_n13/stats_n13.json']	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	writer	None	'scripts/99_emit_canonical.py::build_scs_cc2_extended_n13'	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	per_molecule_representation	None	'dict keyed by mol_id'	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	cross_check_csv	'results/cross_check_n13.csv'	'results/scscc2_extension_n13/cross_check_n13.csv'	EXPECTED_METADATA_CHANGE	
metadata	stats_json	None	'results/scscc2_extension_n13/stats_n13.json'	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	clopper_pearson_note	None	'transparency-only; not the paper-facing interpretation for this ADC(2)-pre-screened cohort'	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	ci_method_long_form	None	'rule of three (one-sided 95% upper bound on within-screen sign-disagreement rate; the 13 molecules are an ADC(2)-pre-screened cohort, not an i.i.d. random sample)'	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	design_note	'n=13 INVEST cohort: 4 historical SCS-CC2 jobs (Hz_NH23, Hz_DMAC1_NPh21_CF31, Hz_NPh22_SO2Ph1, Hz_POZ1_NPh21_CF31) using adc2_batch2_final / hf_calcs geometries (gnorm 6.6e-5 to 7.6e-4); 9 new Phase 2 SCS-CC2 jobs using delta_dft converged geometries (gnorm 5.6e-5 to 1.5e-4). All geometries within historical convergence baseline.'	'n=13 INVEST cohort: 4 historical SCS-CC2 jobs (Hz_NH23, Hz_DMAC1_NPh21_CF31, Hz_NPh22_SO2Ph1, Hz_POZ1_NPh21_CF31) using adc2_batch2_final / hf_calcs geometries (gnorm 6.6e-5 to 7.6e-4); 9 new Phase 2 SCS-CC2 jobs using delta_dft converged geometries (gnorm 5.6e-5 to 1.5e-4). All geometries within historical convergence baseline.'	UNCHANGED	
